Driver Name,Category,Manufacturer,Is Abstract/Virtual,Description,Documentation Link
Spectrum_M4i2211.py,Spectrum Analyzer,Spectrum GmbH,No,"Driver for Spectrum GmbH Digitizer/AWG card, commonly used for spectrum analysis applications.",
NI_DAQ.py,Multimeter,National Instruments,No,"Generic driver for National Instruments Data Acquisition devices, supporting various I/O operations.",
ZHInst_Abstractv2.py,Core / Abstract Base Classes,Zurich Instruments,Yes,Abstract base class for Zurich Instruments devices (version 2).,
ZHInst_Abstract.py,Core / Abstract Base Classes,Zurich Instruments,Yes,Abstract base class for Zurich Instruments devices.,
AbstractVNA.py,Core / Abstract Base Classes,Internal / Core,Yes,Abstract base class for Vector Network Analyzers.,
AbstractMicrowaveSource.py,Core / Abstract Base Classes,Internal / Core,Yes,Abstract base class for microwave sources.,
__init__.py,Core / Abstract Base Classes,Internal / Core,Yes,Internal Python package initialization file.,
Keysight_VNA_P9375A.py,Vector Network Analyzer (VNA),Keysight,No,Driver for Keysight P9375A Streamline Series USB VNA.,
Keysight_VNA_P50xxA.py,Vector Network Analyzer (VNA),Keysight,No,Driver for Keysight P50xxA Streamline Series USB VNA.,
Keysight_VNA_E5080B_spectrum.py,Vector Network Analyzer (VNA),Keysight,No,Driver for Keysight E5080B ENA Series Network Analyzer (Spectrum mode).,
Keysight_VNA_E5080B.py,Vector Network Analyzer (VNA),Keysight,No,Driver for Keysight E5080B ENA Series Network Analyzer.,
Keysight_VNA_E5071C.py,Vector Network Analyzer (VNA),Keysight,No,Driver for Keysight E5071C ENA Series Network Analyzer.,
Keysight_VNA_P50xxA.py,Vector Network Analyzer (VNA),Keysight,No,"Driver for Keysight P50xxA Vector Network Analyzers, supporting S-parameter measurements and network analysis.",
Agilent_PNAX.py,Vector Network Analyzer (VNA),Agilent,No,Driver for Agilent PNA-X Series Network Analyzer.,
Anritsu_VNA.py,Vector Network Analyzer (VNA),Anritsu,No,Generic driver for Anritsu Vector Network Analyzers.,
Anritsu_VNA_MS4642B.py,Vector Network Analyzer (VNA),Anritsu,No,Driver for Anritsu MS4642B Vector Network Analyzer.,
Anritsu_MS2830A.py,Vector Network Analyzer (VNA),Anritsu,No,Driver for Anritsu MS2830A Field Master Pro (Spectrum Analyzer and VNA).,
virtual_VNA_quantum_machines.py,Vector Network Analyzer (VNA),Virtual / Quantum Machines,Yes,Virtual VNA driver for Quantum Machines integration.,
ZHInst_Virtual_VNA.py,Vector Network Analyzer (VNA),Virtual / Zurich Instruments,Yes,Virtual VNA driver for Zurich Instruments.,
ZHInst_Virtual_VNAv2.py,Vector Network Analyzer (VNA),Virtual / Zurich Instruments,Yes,Virtual VNA driver for Zurich Instruments (version 2).,
Keysight_M3202A.py,AWG / Signal Generator,Keysight,No,Driver for Keysight M3202A Modular AWG/Digitizer.,
Keysight_E8267D.py,AWG / Signal Generator,Keysight,No,Driver for Keysight E8267D PSG Vector Signal Generator.,
RohdeSchwarz_SMIQ06B.py,AWG / Signal Generator,Rohde & Schwarz,No,Driver for Rohde & Schwarz SMIQ06B Vector Signal Generator.,
RohdeSchwarz_SMF100A.py,AWG / Signal Generator,Rohde & Schwarz,No,Driver for Rohde & Schwarz SMF100A Signal Generator.,
RohdeSchwarz_SMB100A.py,AWG / Signal Generator,Rohde & Schwarz,No,Driver for Rohde & Schwarz SMB100A Signal Generator.,
Tektronix_AWG7062.py,AWG / Signal Generator,Tektronix,No,Driver for Tektronix AWG7062 Arbitrary Waveform Generator.,
Tektronix_AWG520.py,AWG / Signal Generator,Tektronix,No,Driver for Tektronix AWG520 Arbitrary Waveform Generator.,
Tektronix_AWG5014.py,AWG / Signal Generator,Tektronix,No,Driver for Tektronix AWG5014 Arbitrary Waveform Generator.,
Agilent_E8257D.py,AWG / Signal Generator,Agilent,No,Driver for Agilent E8257D PSG Signal Generator.,
Agilent_33210A.py,AWG / Signal Generator,Agilent,No,Driver for Agilent 33210A Function/Arbitrary Waveform Generator.,
AnaPico_APUASYN20.py,AWG / Signal Generator,AnaPico,No,Driver for AnaPico APUASYN20 RF Signal Generator/Synthesizer.,
ERA_Synth.py,AWG / Signal Generator,ERA Instruments,No,Driver for ERA Synthesizer.,
HP_81110A.py,AWG / Signal Generator,Hewlett-Packard (HP),No,Driver for HP 81110A Pulse/Pattern Generator.,
HP_3245A.py,AWG / Signal Generator,Hewlett-Packard (HP),No,Driver for HP 3245A Universal Source / Function Generator.,
Lmx2595.py,AWG / Signal Generator,Texas Instruments (TI),No,Driver for TI LMX2595 Signal Generator chip (likely integrated in custom hardware).,
Tabor_WX1284C.py,AWG / Signal Generator,Tabor Electronics,No,Driver for Tabor WX1284C Arbitrary Waveform Generator.,
Windfreaktech916.py,AWG / Signal Generator,Windfreak Technologies,No,Driver for Windfreak Technologies 916 Synthesizer.,
Windfreaktech_SynthHD.py,AWG / Signal Generator,Windfreak Technologies,No,Driver for Windfreak Technologies SynthHD Synthesizer.,
Keysight_B2900.py,DC Source / Power Supply,Keysight,No,Driver for Keysight B2900 Series Precision Source/Measure Unit.,
Tektronix_PWS4205.py,DC Source / Power Supply,Tektronix,No,Driver for Tektronix PWS4205 Programmable Power Supply.,
Caen_FAST_PS.py,DC Source / Power Supply,CAEN,No,Driver for CAEN FAST Power Supply.,
EA_PS9360.py,DC Source / Power Supply,EA Elektro-Automatik,No,Driver for EA PS9360 Programmable Power Supply.,
Keithley_2636A.py,DC Source / Power Supply,Keithley,No,Driver for Keithley 2636A Source Measure Unit.,
Keithley_2450_gla_old.py,DC Source / Power Supply,Keithley,No,Older GLa-specific driver for Keithley 2450 Source Measure Unit.,
Keithley_2450.py,DC Source / Power Supply,Keithley,No,Main driver for Keithley 2450 Source Measure Unit series.,
Keithley_2450_gla.py,DC Source / Power Supply,Keithley,No,GLa-specific driver for Keithley 2450 Source Measure Unit.,
Yokogawa.py,DC Source / Power Supply,Yokogawa,No,Driver for Yokogawa GS820 Multi Channel Source Measure Unit (main file).,
Yokogawa_GS820.py,DC Source / Power Supply,Yokogawa,No,Driver for Yokogawa GS820 Multi Channel Source Measure Unit.,
Yokogawa_GS210.py,DC Source / Power Supply,Yokogawa,No,Driver for Yokogawa GS210 Precision DC Source.,
Yokogawa_GS200_old.py,DC Source / Power Supply,Yokogawa,No,Older driver for Yokogawa GS200 Precision DC Source.,
Yokogawa_GS200.py,DC Source / Power Supply,Yokogawa,No,Driver for Yokogawa GS200 Precision DC Source.,
virtual_yokomagnet.py,DC Source / Power Supply,Virtual,Yes,Virtual driver for a Yokogawa-style magnet controller.,
virtual_Current_Source.py,DC Source / Power Supply,Virtual,Yes,Virtual driver for a current source.,
ZHInst_UHFLI.py,Quantum Control / Sequencing,Zurich Instruments,No,Driver for Zurich Instruments UHFLI (Lock-in Amplifier with integrated AWG/Sequencing).,
ZHInst_UHFQAv2.py,Quantum Control / Sequencing,Zurich Instruments,No,Driver for Zurich Instruments UHFQA (version 2).,
ZHInst_UHFQA.py,Quantum Control / Sequencing,Zurich Instruments,No,Driver for Zurich Instruments UHFQA (Quantum Analyzer for readout).,
ZHInst_SHFSGv2.py,Quantum Control / Sequencing,Zurich Instruments,No,Driver for Zurich Instruments SHFSG (version 2).,
ZHInst_SHFSG.py,Quantum Control / Sequencing,Zurich Instruments,No,Driver for Zurich Instruments SHFSG (Signal Generator for Quantum Applications).,
ZHInst_PQSC.py,Quantum Control / Sequencing,Zurich Instruments,No,Driver for Zurich Instruments PQSC (Programmable Quantum System Controller).,
Qblox_QRM.py,Quantum Control / Sequencing,Qblox,No,Driver for Qblox Qubit Readout Module.,
Qblox_QCM.py,Quantum Control / Sequencing,Qblox,No,Driver for Qblox Qubit Control Module.,
SpinCore_PulseBlaster_DDS.py,Quantum Control / Sequencing,SpinCore,No,Driver for SpinCore PulseBlaster DDS Pulse Sequencer.,
Agilent_34401A.py,Digital Multimeter (DMM),Agilent,No,Driver for Agilent 34401A Digital Multimeter.,
Keithley_2000.py,Digital Multimeter (DMM),Keithley,No,Driver for Keithley 2000 Digital Multimeter.,
LCR_Agilent_E4980A.py,LCR Meter,Agilent,No,Driver for Agilent E4980A Precision LCR Meter.,
virtual_tunnel_electronic.py,Cryogenic / Environmental Control,Virtual,Yes,Virtual tunneling electronics (related to low-temperature experiments).,
virtual_temperature_UFO.py,Cryogenic / Environmental Control,Virtual,Yes,Virtual temperature controller (UFO).,
EdwardsActiveDigitalController.py,Cryogenic / Environmental Control,Edwards,No,Driver for Edwards Active Digital Controller (likely vacuum gauge/pressure).,
OxfordInstruments_Kelvinox_IGH.py,Cryogenic / Environmental Control,Oxford Instruments,No,Driver for Oxford Instruments Kelvinox IGH Dilution Refrigerator Controller.,
Oxford_Triton.py,Cryogenic / Environmental Control,Oxford Instruments,No,Driver for Oxford Instruments Triton Dilution Refrigerator Controller.,
Oxford_ITC503.py,Cryogenic / Environmental Control,Oxford Instruments,No,Driver for Oxford Instruments ITC503 Intelligent Temperature Controller.,
nidaq_syncIV.py,DAQ / Digitizer / I/O,National Instruments,No,Driver for National Instruments DAQ with synchronized I/V.,
NI_DAQ_IV.py,DAQ / Digitizer / I/O,National Instruments,No,Driver for National Instruments DAQ for I/V measurements.,
NI_DAQ.py,DAQ / Digitizer / I/O,National Instruments,No,Generic driver for National Instruments DAQ.,
Tunnel_DAC.py,DAQ / Digitizer / I/O,Other,No,Digital-to-Analog Converter for tunneling experiments.,
te_opto_dac.py,DAQ / Digitizer / I/O,Other,No,Thermoelectric/Optical Digital-to-Analog Converter.,
IVVDIG_main_eth.py,DAQ / Digitizer / I/O,Other,No,Ethernet-based digital I/O or digitizer.,
Spectrum_M4i2211.py,DAQ / Digitizer / I/O,Spectrum GmbH,No,Driver for Spectrum GmbH M4i.2211 Digitizer/AWG card.,
Spectrum_M3i2132.py,DAQ / Digitizer / I/O,Spectrum GmbH,No,Driver for Spectrum GmbH M3i.2132 Digitizer/AWG card.,
Spectrum_M2i2030.py,DAQ / Digitizer / I/O,Spectrum GmbH,No,Driver for Spectrum GmbH M2i.2030 Digitizer/AWG card.,
DC_DAC_LTC2666.py,DAQ / Digitizer / I/O,Analog Devices (LTC),No,Driver for LTC2666 DC Digital-to-Analog Converter chip (custom DAQ).,
FTDI_DAQ.py,DAQ / Digitizer / I/O,FTDI,No,Driver for FTDI-based Data Acquisition.,
GhzDAC.py,DAQ / Digitizer / I/O,Generic / Custom,No,Driver for Gigahertz Digital-to-Analog Converter (likely custom).,
RS_SGMA.py,Miscellaneous / Auxiliary,Rohde & Schwarz,No,Driver for Rohde & Schwarz Signal Generator Module (specific module).,
MicroMag3.py,Miscellaneous / Auxiliary,Other,No,Driver for a magnetometer or magnetic field controller.,
virtual_step_attenuator.py,Miscellaneous / Auxiliary,Virtual,Yes,Virtual driver for a step attenuator.,
virtual_pwsMagnet.py,Miscellaneous / Auxiliary,Virtual,Yes,Virtual driver for a pulsed magnet.,
virtual_magnet.py,Miscellaneous / Auxiliary,Virtual,Yes,Virtual driver for a magnet.,
virtual_MultiplexingReadout.py,Miscellaneous / Auxiliary,Virtual,Yes,Virtual driver for multiplexing readout.,
virtual_Coil.py,Miscellaneous / Auxiliary,Virtual,Yes,Virtual driver for a coil.,
quartz_dummy.py,Miscellaneous / Auxiliary,Dummy,Yes,Dummy quartz crystal microbalance/resonator.,
ohmmeter_dummy.py,Miscellaneous / Auxiliary,Dummy,Yes,Dummy ohmmeter driver.,
mfc_dummy.py,Miscellaneous / Auxiliary,Dummy,Yes,Dummy mass flow controller.,
IVD_dummy.py,Miscellaneous / Auxiliary,Dummy,Yes,Dummy I-V driver.,
Dummy_IP.py,Miscellaneous / Auxiliary,Dummy,Yes,Placeholder for IP-based dummy instrument.,
Dummy.py,Miscellaneous / Auxiliary,Dummy,Yes,Placeholder or example instrument driver.,
VCAs_TD.py,Miscellaneous / Auxiliary,Generic,No,Driver for Voltage Controlled Amplifiers.,
two_port_switch.py,Miscellaneous / Auxiliary,Generic,No,Driver for a 2-port RF switch.,
tip2_client.py,Miscellaneous / Auxiliary,Generic,No,Client for a scanning probe microscopy tip control (version 2).,
tip_client.py,Miscellaneous / Auxiliary,Generic,No,Client for a scanning probe microscopy tip control.,
switch_client.py,Miscellaneous / Auxiliary,Generic,No,Client for a general switch device.,
StepMotor.py,Miscellaneous / Auxiliary,Generic,No,Driver for a general step motor controller.,
StepAttenuator.py,Miscellaneous / Auxiliary,Generic,No,Driver for a general step attenuator.,
EthernetServerWin.py,Miscellaneous / Auxiliary,Generic,No,Windows-specific Ethernet server driver.,
EthernetServer.py,Miscellaneous / Auxiliary,Generic,No,Generic Ethernet server driver.,
EthernetNode.py,Miscellaneous / Auxiliary,Generic,No,Generic Ethernet node driver.,
Faulhaber_3564K024B_C.py,Miscellaneous / Auxiliary,Faulhaber,No,Driver for Faulhaber 3564K024B-C motor controller.,
Inficon.py,Miscellaneous / Auxiliary,Inficon,No,Driver for Inficon vacuum gauge.,
manual_settings.py,Miscellaneous / Auxiliary,Internal Tool,No,Driver for manual control or settings management.,
IQ_Mixer.py,Miscellaneous / Auxiliary,Internal Tool,No,Toolset for calibrating and using IQ-Mixers as Single-Sideband-Mixers (SSB) (utility).,
IQ_Mixer_optimization.py,Miscellaneous / Auxiliary,Internal Tool,No,Toolset for IQ Mixer optimization/calibration (utility).,
MKS_647C.py,Miscellaneous / Auxiliary,MKS Instruments,No,Driver for MKS 647C pressure transducer/controller.,
RFPCB_V2.py,Miscellaneous / Auxiliary,Home-built / Custom,No,"Driver for RF frontend PCB (custom hardware, version 2).",
RFPCBJ.py,Miscellaneous / Auxiliary,Home-built / Custom,No,"Driver for RF frontend PCB (custom hardware, specific version).",
RFPCB.py,Miscellaneous / Auxiliary,Home-built / Custom,No,Driver for RF frontend PCB (custom hardware).,
Teslameter_FM302.py,Miscellaneous / Auxiliary,Lake Shore / FW Bell,No,Driver for Teslameter FM302 (for magnetic fields).,
visa_prologix.py,Miscellaneous / Auxiliary,Prologix,No,Driver for Prologix GPIB-to-Ethernet/USB adapter.,
